"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
429,528,8,0,11796,392,7,5,11796,131,2785448115,1479432079,false,19,111620041,"The Summit 5"
426,5013,24,8237,42779,701,10,7,42779,660,3091214026,1491048621,true,25,111620041,"Dota 2 Asia Championships 2017"
422,2687,2,0,10643,564,12,0,10643,149,2930625813,1485034093,true,35,111620041,"Dota Pit League Season Five"
419,0,4,0,11988,385,4,3,11988,165,3137421315,1493031128,false,97,111620041,"Kiev Major"
415,2945,6,289,16455,398,6,11,16455,207,3293987468,1499244508,false,45,111620041,"2017 Mars Dota 2 League"
411,150,3,0,8365,420,1,5,8365,163,2836231646,1481385374,false,70,111620041,"The Boston Major 2016"
403,735,3,1770,10309,391,2,5,10309,300,3299741115,1499489016,false,17,111620041,"2017 Mars Dota 2 League"
380,4525,5,477,17686,482,3,4,17686,187,2785280169,1479419731,false,45,111620041,"The Summit 5"
378,10125,15,0,41783,607,14,11,41783,666,2799103114,1479962639,false,21,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
372,0,1,0,3738,336,0,5,3738,105,3241360537,1497182724,false,17,111620041,"EPICENTER: Moscow Season 2"
361,92,0,0,4360,450,0,4,4360,84,2754297176,1478220450,false,73,111620041,"Dota Pit League Season Five"
25,0,0,0,960,179,0,1,960,14,2932729903,1485113175,true,106,111620041,"Dota Pit League Season Five"
